timestamp,open,high,low,close,volume
2025-06-26 17:45:00,546.5,546.51,546.5,546.51,400
2025-06-26 17:50:00,546.49,546.55,546.49,546.55,5133
2025-06-26 17:55:00,546.56,546.599,546.55,546.55,2798
2025-06-26 18:00:00,546.55,546.69,546.15,546.51,13210
2025-06-26 18:05:00,546.5286,546.7,546.46,546.69,5614
2025-06-26 18:10:00,546.75,546.75,546.52,546.52,6224
2025-06-26 18:15:00,546.479,546.6,546.479,546.6,3090
2025-06-26 18:20:00,546.74,546.74,546.6,546.67,7949
2025-06-26 18:25:00,546.699,547.08,546.699,546.86,21973
2025-06-26 18:30:00,546.9,546.9,546.79,546.82,7814
2025-06-26 18:35:00,546.82,546.91,546.8,546.8,7913
2025-06-26 18:40:00,546.92,546.9698,546.75,546.7502,12117
2025-06-26 18:45:00,546.75,546.8,546.73,546.73,699
2025-06-26 18:50:00,546.79,546.87,546.79,546.8,11999
2025-06-26 18:55:00,546.86,546.89,546.74,546.8,8992
2025-06-26 19:00:00,546.7509,546.85,546.64,546.65,7253
2025-06-26 19:05:00,546.7,546.7,546.5,546.52,10612
2025-06-26 19:10:00,546.54,546.54,546.3,546.34,6767
2025-06-26 19:15:00,546.349,546.4,546.26,546.35,2569
2025-06-26 19:20:00,546.38,546.59,546.37,546.59,2280
2025-06-26 19:25:00,546.44,546.6,546.44,546.6,5397
2025-06-26 19:30:00,546.48,546.48,546.45,546.45,1600
2025-06-26 19:35:00,546.5,546.5,546.4,546.4692,6694
2025-06-26 19:40:00,546.4593,546.54,546.37,546.53,3000
2025-06-26 19:45:00,546.549,546.609,546.459,546.46,3168
2025-06-26 19:50:00,546.34,546.48,546.22,546.48,2750
2025-06-26 19:55:00,546.44,546.47,546.38,546.38,6081
2025-06-27 04:00:00,547.67,548.18,547.67,547.99,9665
2025-06-27 04:05:00,547.86,547.88,547.7,547.78,3672
2025-06-27 04:10:00,547.75,548.24,547.75,548.24,5867
2025-06-27 04:15:00,548.15,548.17,547.9,547.9,1400
2025-06-27 04:20:00,547.91,547.91,547.83,547.88,1200
2025-06-27 04:25:00,547.89,547.95,547.89,547.94,1137
2025-06-27 04:30:00,547.93,548.26,547.9,548.07,5123
2025-06-27 04:35:00,548.08,548.08,547.97,548.02,1000
2025-06-27 04:40:00,548.05,548.05,548.05,548.05,100
2025-06-27 04:45:00,548.12,548.18,548.05,548.09,1400
2025-06-27 04:50:00,548.07,548.17,548.07,548.14,1706
2025-06-27 04:55:00,548.18,548.33,548.18,548.33,1074
2025-06-27 05:00:00,548.31,548.31,548.2,548.27,4278
2025-06-27 05:05:00,548.26,548.26,548.01,548.01,3512
2025-06-27 05:10:00,547.95,547.95,547.84,547.9,2426
2025-06-27 05:15:00,547.99,548.0,547.98,548.0,1395
2025-06-27 05:20:00,547.98,548.09,547.98,548.07,1622
2025-06-27 05:25:00,548.09,548.1,548.01,548.01,2200
2025-06-27 05:30:00,548.04,548.14,548.0,548.14,5400
2025-06-27 05:35:00,548.12,548.12,548.0,548.0,2305
2025-06-27 05:40:00,548.09,548.17,548.03,548.03,1522
2025-06-27 05:45:00,548.1,548.14,548.06,548.08,2300
2025-06-27 05:50:00,548.08,548.08,547.92,548.04,3510
2025-06-27 05:55:00,548.05,548.2,548.03,548.19,4692
2025-06-27 06:00:00,548.26,548.27,547.95,548.17,5557
2025-06-27 06:05:00,548.11,548.11,548.0,548.0,394
2025-06-27 06:10:00,547.98,547.98,547.79,547.81,2880
2025-06-27 06:15:00,547.96,548.0,547.95,547.95,600
2025-06-27 06:20:00,547.98,548.02,547.92,547.92,1300
2025-06-27 06:25:00,547.92,547.93,547.82,547.88,1600
2025-06-27 06:30:00,547.92,547.94,547.9,547.92,500
2025-06-27 06:35:00,547.95,547.95,547.83,547.83,3290
2025-06-27 06:40:00,547.85,547.89,547.83,547.86,700
2025-06-27 06:45:00,547.86,547.98,547.86,547.98,1163
2025-06-27 06:50:00,547.87,547.98,547.86,547.97,2210
2025-06-27 06:55:00,547.94,547.95,547.92,547.95,22050
2025-06-27 07:00:00,547.9,548.34,547.87,548.27,30733
2025-06-27 07:05:00,548.22,548.28,548.19,548.24,2508
2025-06-27 07:10:00,548.41,548.55,548.35,548.5,20440
2025-06-27 07:15:00,548.44,548.52,548.42,548.5,9228
2025-06-27 07:20:00,548.54,548.66,548.54,548.6,7608
2025-06-27 07:25:00,548.58,548.66,548.57,548.6,3627
2025-06-27 07:30:00,548.55,548.75,548.55,548.72,5478
2025-06-27 07:35:00,548.72,548.9,548.72,548.88,6071
2025-06-27 07:40:00,548.92,549.0,548.81,548.83,6036
2025-06-27 07:45:00,548.8,548.87,548.73,548.83,5255
2025-06-27 07:50:00,548.89,548.91,548.85,548.85,2293
2025-06-27 07:55:00,548.86,549.0,548.8,549.0,17917
2025-06-27 08:00:00,548.14,549.19,546.84,548.88,89689
2025-06-27 08:05:00,548.87,548.92,548.72,548.82,10101
2025-06-27 08:10:00,548.76,548.76,548.5104,548.5104,14052
2025-06-27 08:15:00,548.5,548.52,548.39,548.39,22966
2025-06-27 08:20:00,548.4,548.8,548.32,548.78,30740
2025-06-27 08:25:00,548.82,548.85,548.62,548.85,19617
2025-06-27 08:30:00,548.7,548.73,548.08,548.17,79056
2025-06-27 08:35:00,548.17,548.38,548.06,548.3,11795
2025-06-27 08:40:00,548.25,548.25,547.78,547.8301,22684
2025-06-27 08:45:00,547.89,548.19,547.8,547.98,18478
2025-06-27 08:50:00,547.97,548.0,547.64,547.83,49333
2025-06-27 08:55:00,547.77,547.9,547.74,547.84,43045
2025-06-27 09:00:00,547.815,547.88,547.35,547.39,38768
2025-06-27 09:05:00,547.39,547.45,547.19,547.24,36230
2025-06-27 09:10:00,547.27,547.35,547.15,547.24,10429
2025-06-27 09:15:00,547.24,547.61,547.24,547.4599,21794
2025-06-27 09:20:00,547.42,547.56,547.39,547.45,41557
2025-06-27 09:25:00,547.46,547.68,547.18,547.21,41431
2025-06-27 09:30:00,547.26,547.74,546.74,547.49,1102912
2025-06-27 09:35:00,547.49,548.09,547.2,547.96,522780
2025-06-27 09:40:00,547.95,547.979,547.48,547.868,451171
2025-06-27 09:45:00,547.87,548.135,547.83,547.9,418131
2025-06-27 09:50:00,547.92,548.14,547.78,548.1,413652
2025-06-27 09:55:00,548.08,548.72,548.08,548.598,470207
2025-06-27 10:00:00,548.6,549.43,548.6,549.28,756487
2025-06-27 10:05:00,549.27,549.79,549.22,549.34,612564
2025-06-27 10:10:00,549.34,549.99,549.11,549.48,604076
2025-06-27 10:15:00,549.47,549.69,549.17,549.31,533717
2025-06-27 10:20:00,549.31,549.83,549.11,549.1551,574981
2025-06-27 10:25:00,549.14,549.15,548.76,549.0252,417833
2025-06-27 10:30:00,549.02,549.08,548.57,548.87,267029
2025-06-27 10:35:00,548.87,549.76,548.68,549.39,549600
